time,cluster,ride,count
8.0,0,0,307
8.0,0,1,66
8.0,0,11,4
8.0,0,12,4
8.0,0,14,7
8.0,0,15,4
8.0,0,16,6
8.0,0,19,2
8.0,0,2,99
8.0,0,21,7
8.0,0,22,2
8.0,0,23,10
8.0,0,24,4
8.0,0,25,4
8.0,0,26,1
8.0,0,27,16
8.0,0,29,3
8.0,0,30,2
8.0,0,31,2
8.0,0,33,8
8.0,0,34,4
8.0,0,36,9
8.0,0,4,3
8.0,0,5,3
8.0,0,6,3
8.0,0,9,3
8.0,1,0,6
8.0,10,0,1
8.0,10,31,1
8.0,11,0,8
8.0,11,1,3
8.0,11,2,2
8.0,11,20,1
8.0,11,27,1
8.0,11,33,1
8.0,11,35,1
8.0,2,0,133
8.0,2,1,35
8.0,2,12,2
8.0,2,15,1
8.0,2,17,3
8.0,2,18,4
8.0,2,2,62
8.0,2,20,5
8.0,2,21,5
8.0,2,23,3
8.0,2,26,6
8.0,2,29,6
8.0,2,30,4
8.0,2,31,11
8.0,2,32,5
8.0,2,33,8
8.0,2,36,3
8.0,2,37,2
8.0,4,0,208
8.0,4,1,95
8.0,4,13,9
8.0,4,14,2
8.0,4,17,3
8.0,4,18,1
8.0,4,2,62
8.0,4,23,6
8.0,4,26,10
8.0,4,27,10
8.0,4,28,3
8.0,4,3,8
8.0,4,32,1
8.0,4,33,5
8.0,4,35,2
8.0,4,36,2
8.0,4,37,1
8.0,4,4,4
8.0,4,5,2
8.0,4,7,15
8.0,4,8,9
8.0,6,0,78
8.0,6,1,4
8.0,6,2,15
8.0,6,27,4
8.0,6,28,3
8.0,8,0,46
8.0,8,1,12
8.0,8,13,2
8.0,8,17,5
8.0,8,2,39
8.0,8,26,5
8.0,8,27,1
8.0,8,28,2
8.0,8,31,1
8.0,8,35,2
8.0,8,38,5
8.0,8,5,1
8.0,8,9,2
8.0,9,0,55
8.0,9,1,31
8.0,9,11,4
8.0,9,2,32
8.0,9,20,2
8.0,9,21,1
8.0,9,22,3
8.0,9,23,3
8.0,9,26,1
8.0,9,27,2
8.0,9,28,3
8.0,9,30,2
8.0,9,37,2
8.5,0,0,190
8.5,0,1,57
8.5,0,10,20
8.5,0,11,3
8.5,0,12,9
8.5,0,13,83
8.5,0,14,24
8.5,0,15,9
8.5,0,16,37
8.5,0,17,10
8.5,0,18,4
8.5,0,19,11
8.5,0,2,98
8.5,0,20,12
8.5,0,21,12
8.5,0,22,6
8.5,0,23,18
8.5,0,24,7
8.5,0,25,3
8.5,0,26,33
8.5,0,27,59
8.5,0,28,64
8.5,0,29,18
8.5,0,3,2
8.5,0,30,5
8.5,0,31,50
8.5,0,32,7
8.5,0,33,41
8.5,0,34,6
8.5,0,35,12
8.5,0,36,13
8.5,0,37,31
8.5,0,38,17
8.5,0,39,8
8.5,0,4,3
8.5,0,5,58
8.5,0,6,16
8.5,0,7,33
8.5,0,8,3
8.5,0,9,49
8.5,11,0,26
8.5,11,1,25
8.5,11,13,3
8.5,11,16,8
8.5,11,17,1
8.5,11,2,33
8.5,11,21,1
8.5,11,22,5
8.5,11,24,1
8.5,11,26,6
8.5,11,27,8
8.5,11,28,7
8.5,11,29,10
8.5,11,31,4
8.5,11,33,6
8.5,11,36,8
8.5,11,37,6
8.5,11,5,4
8.5,11,6,3
8.5,11,7,2
8.5,11,9,4
8.5,1,5,6
8.5,2,0,57
8.5,2,1,51
8.5,2,10,8
8.5,2,11,4
8.5,2,12,13
8.5,2,13,32
8.5,2,14,15
8.5,2,15,3
8.5,2,16,27
8.5,2,17,7
8.5,2,18,6
8.5,2,19,8
8.5,2,2,70
8.5,2,20,4
8.5,2,21,12
8.5,2,23,17
8.5,2,24,7
8.5,2,26,20
8.5,2,27,12
8.5,2,28,15
8.5,2,29,4
8.5,2,3,12
8.5,2,31,41
8.5,2,32,12
8.5,2,33,48
8.5,2,35,11
8.5,2,36,10
8.5,2,38,9
8.5,2,39,9
8.5,2,5,30
8.5,2,6,8
8.5,2,7,25
8.5,2,9,32
8.5,4,0,179
8.5,4,1,136
8.5,4,10,23
8.5,4,11,12
8.5,4,12,3
8.5,4,13,48
8.5,4,14,10
8.5,4,15,26
8.5,4,16,14
8.5,4,17,5
8.5,4,18,4
8.5,4,19,11
8.5,4,2,84
8.5,4,20,19
8.5,4,21,28
8.5,4,22,18
8.5,4,23,25
8.5,4,25,24
8.5,4,26,27
8.5,4,27,38
8.5,4,28,37
8.5,4,29,21
8.5,4,3,18
8.5,4,31,21
8.5,4,32,23
8.5,4,33,20
