time,cluster,ride,count
8.0,0,0,76
8.0,0,1,59
8.0,0,12,4
8.0,0,13,3
8.0,0,14,2
8.0,0,15,2
8.0,0,16,3
8.0,0,17,4
8.0,0,2,85
8.0,0,23,13
8.0,0,26,4
8.0,0,28,2
8.0,0,3,4
8.0,0,30,3
8.0,0,31,3
8.0,0,32,1
8.0,0,33,2
8.0,0,36,8
8.0,0,38,1
8.0,0,4,2
8.0,0,7,4
8.0,0,8,4
8.0,0,9,9
8.0,1,0,20
8.0,10,0,119
8.0,10,1,23
8.0,10,10,2
8.0,10,13,1
8.0,10,16,2
8.0,10,17,1
8.0,10,19,2
8.0,10,2,16
8.0,10,24,1
8.0,10,26,6
8.0,10,27,1
8.0,10,28,3
8.0,10,31,3
8.0,10,33,2
8.0,10,9,1
8.0,1,1,13
8.0,11,0,38
8.0,11,1,43
8.0,11,17,1
8.0,11,2,37
8.0,11,23,6
8.0,11,26,2
8.0,11,27,1
8.0,11,30,1
8.0,11,31,3
8.0,11,32,7
8.0,11,34,5
8.0,11,37,1
8.0,11,4,2
8.0,1,16,2
8.0,11,9,2
8.0,1,2,12
8.0,1,21,2
8.0,1,26,1
8.0,1,27,1
8.0,1,5,1
8.0,1,6,1
8.0,1,9,1
8.0,2,0,156
8.0,2,1,48
8.0,2,13,3
8.0,2,14,5
8.0,2,16,4
8.0,2,19,1
8.0,2,2,83
8.0,2,21,5
8.0,2,23,2
8.0,2,26,5
8.0,2,28,7
8.0,2,29,3
8.0,2,33,1
8.0,2,35,3
8.0,2,40,1
8.0,2,5,3
8.0,2,7,7
8.0,2,8,2
8.0,2,9,2
8.0,4,0,1
8.0,5,0,112
8.0,5,1,43
8.0,5,11,18
8.0,5,12,1
8.0,5,18,7
8.0,5,19,1
8.0,5,2,150
8.0,5,20,3
8.0,5,21,1
8.0,5,23,5
8.0,5,24,3
8.0,5,26,1
8.0,5,27,11
8.0,5,30,9
8.0,5,31,12
8.0,5,32,1
8.0,5,33,18
8.0,5,4,9
8.0,5,5,1
8.0,5,7,5
8.0,5,9,1
8.0,6,0,3
8.0,6,1,2
8.0,6,2,1
8.0,6,31,1
8.0,6,5,1
8.0,7,0,241
8.0,7,1,85
8.0,7,12,3
8.0,7,13,6
8.0,7,16,5
8.0,7,18,2
8.0,7,2,148
8.0,7,20,8
8.0,7,21,2
8.0,7,22,7
