hour,cluster,distance
8,2,44.86372759
8,8,44.79995349
8,4,47.22166564
8,0,44.60975801
8,11,44.89642309
8,5,52.49348938
8,9,45.88790782
8,6,46.47003841
8,3,50.30884458
8,10,36.41099886
8,1,59.05054413
9,2,41.48352999
9,8,40.53414544
9,4,40.48031882
9,0,39.69110151
9,11,39.56184985
9,5,42.9799186
9,9,40.37299105
9,6,39.20454203
9,1,49.17494839
9,7,46.05617344
9,3,40.38510452
9,10,49.98426923
10,2,38.92226291
10,8,40.96368205
10,4,42.12393291
10,0,40.70924447
10,11,40.65990827
10,5,40.69569066
10,9,42.15881501
10,6,39.14529716
10,1,45.04568095
10,7,40.69419464
10,3,36.33327408
10,10,47.71246426
11,2,39.54344756
11,8,38.57174703
11,4,39.92699384
11,0,42.47613869
11,11,35.90443277
11,5,39.50027899
11,9,39.27960798
11,6,38.03489251
11,1,45.46376439
11,7,42.81760325
11,3,41.64841569
11,10,39.79543378
12,2,41.27030985
12,8,40.47524416
12,4,39.95233385
12,0,40.53014475
12,11,42.71997136
12,5,41.08816771
12,9,41.14497885
12,6,37.47977685
12,1,40.45370198
12,7,43.0451796
12,3,38.02774283
12,10,60.65033703
13,2,41.76136723
13,8,41.53115756
13,4,41.09483118
13,0,41.84352327
13,11,50.38777597
13,5,40.56590044
13,9,41.00259647
13,6,40.98396501
13,1,41.04840139
13,7,39.95053022
13,3,47.86063847
14,2,37.90113566
14,8,35.27817935
14,4,40.35224897
14,0,39.0324746
14,5,38.1664989
14,9,38.91076576
14,6,40.18467288
14,1,40.93844498
14,3,42.74645043
14,7,44.09948149
15,2,41.2280617
15,8,38.045253
15,4,40.53410505
15,0,39.12442915
15,5,41.91140168
15,9,41.52118174
15,6,40.99808305
15,1,43.08517996
15,3,37.49666775
15,7,43.48694028
16,2,39.05409156
16,8,37.640275
16,4,41.35832089
16,0,40.1380389
16,5,39.8225749
16,9,39.7589056
16,6,38.43449781
16,3,38.62677881
16,7,47.18694213
17,2,39.74670366
17,8,38.12101923
17,4,41.41728519
17,0,40.99899196
17,5,41.44769983
17,9,39.09387699
17,6,42.45505893
17,1,49.29904463
17,3,39.95314412
17,7,49.03786219
18,2,39.99914499
18,8,41.61985772
18,4,41.47985673
18,0,42.61882119
18,5,38.18268798
18,9,40.3252699
18,6,40.02272167
18,1,46.79746944
18,3,41.12140604
18,7,42.08839799
19,2,40.27620085
19,8,38.52705879
19,4,40.58028272
19,0,41.35293255
19,9,39.40767933
19,5,41.65509549
19,6,39.8686593
19,1,45.87909735
19,3,38.90597743
19,7,40.49844837
20,2,43.67876204
20,8,38.51164389
20,4,40.75801141
20,0,41.22624256
20,5,49.99976883
20,9,48.64904625
20,6,41.49219062
20,1,42.29177067
20,3,42.77694683
20,7,52.06433105
21,2,47.9131312
21,8,40.9363554
21,4,46.74792492
21,0,40.4225768
21,6,48.33022312
21,1,41.90505836
21,3,44.02039186
21,7,40.99316122
21,9,59.94482513
22,8,44.23549434
22,4,50.09762076
22,0,45.88593067
22,1,39.5569274
22,3,46.30837963
22,7,51.09550316
23,8,53.60610422
23,0,42.54214524
23,1,49.03001021
23,3,45.42970516
