hour,cluster,distance
8,0,46.62757055
8,10,45.41569811
8,8,48.06965016
8,4,51.4989219
8,7,44.60275305
8,2,44.29778341
8,6,45.53369286
8,11,46.2544418
8,5,45.48170123
8,1,43.21310312
9,0,42.03560694
9,10,38.56844818
9,8,40.31951797
9,4,40.10690477
9,7,39.14835208
9,2,39.17061822
9,6,40.02474687
9,11,39.52196329
9,5,40.6550807
9,9,48.94809116
9,1,43.74489015
9,3,39.59562627
10,0,41.43037495
10,10,38.95638754
10,8,40.8817615
10,7,39.94662753
10,2,39.9981159
10,6,38.82261858
10,11,41.59006756
10,5,42.29522677
10,4,40.95477965
10,9,38.53480872
10,1,41.04796085
10,3,38.34249377
11,0,39.9853306
11,10,40.7670737
11,8,39.59729179
11,4,40.22830904
11,7,40.48671496
11,2,40.68204869
11,6,39.67836567
11,11,41.08060842
11,5,39.15002951
11,9,39.02683807
11,1,42.41250106
11,3,41.68679317
12,0,40.76301388
12,10,41.31858179
12,8,38.78401445
12,4,40.75159613
12,7,39.90344831
12,2,40.72857486
12,6,41.28666126
12,11,39.99794652
12,5,40.86298215
12,9,36.57280886
12,1,40.96769889
12,3,39.48184817
13,0,39.70025499
13,10,41.23444449
13,8,39.8513785
13,4,39.94727346
13,7,42.72953323
13,2,39.58117701
13,6,50.79077852
13,11,40.06690031
13,5,39.71512666
13,9,38.55601688
13,1,44.66857435
13,3,42.22520911
14,0,38.19917541
14,10,39.53765788
14,8,38.24375928
14,4,37.72634895
14,7,37.82772681
14,2,38.00809703
14,11,36.27971966
14,5,37.23295518
14,9,39.07946079
14,3,38.03520587
14,1,41.9025054
15,0,41.58471627
15,10,40.01203981
15,8,40.44234741
15,4,40.63071885
15,7,41.12125769
15,2,40.61249887
15,11,39.58871931
15,5,40.92443174
15,9,41.03090576
15,3,36.95723479
15,1,58.17259096
16,0,40.88788651
16,10,40.21290922
16,8,39.51988479
16,4,41.37826661
16,7,42.04979186
16,2,40.74766071
16,11,40.16797599
16,5,41.18192858
16,9,48.5924639
16,3,39.4496608
17,0,40.76703777
17,10,39.16662261
17,8,40.46389095
17,4,42.19904758
17,7,40.4691491
17,2,41.33608375
17,11,40.87715499
17,5,39.87164415
17,3,41.31368945
17,9,49.0519859
17,1,50.7452729
18,0,40.82081116
18,10,41.67050306
18,8,42.15760356
18,4,40.87394856
18,7,40.36042965
18,2,42.36992292
18,11,38.93440916
18,5,38.72346193
18,3,45.67742371
18,9,54.37691592
18,1,39.61468338
19,0,39.13104651
19,10,40.44605408
19,8,41.53322996
19,4,42.05709493
19,7,42.24571959
19,2,40.74495545
19,11,42.82357488
19,5,40.55708422
19,3,45.5052894
19,9,23.20086653
19,1,38.98676908
20,0,40.94248733
20,10,48.4787827
20,8,43.32253239
20,4,50.26224736
20,7,41.14077982
20,2,45.76854086
20,11,38.36438906
20,5,41.77985762
20,3,40.86267522
20,9,28.01578304
20,1,35.04192029
21,0,42.11093188
21,7,39.91224381
21,8,50.62003248
21,11,41.11210437
21,5,43.65218842
21,2,49.1855689
21,3,46.03995617
21,9,57.03777931
21,1,46.3037803
21,10,52.93104095
22,0,46.16103224
22,7,46.2018644
22,11,46.39853058
22,5,44.89594369
22,3,44.88784593
22,9,50.89051361
22,1,35.47094785
23,0,51.85875787
23,11,52.13748043
23,5,58.31971538
23,3,45.15826348
23,1,50.90266596
23,7,58.8826003
