,Name,ID,checkins,region
0,Atmosfear,8,4457,CoasterAlley
1,Auvilotops Express,3,4616,tunda
2,Beelzebufo,14,926,CoasterAlley
3,Blue Iguanodon,17,871,kiddleLand
4,Creighton Pavilion,32,4128,CoasterAlley
5,Cyndisaurus Asteriod,13,901,CoasterAlley
6,Dykesadactyl Thrill,29,1354,CoasterAlley
7,Eberlesaurus Roundup,28,1408,tunda
8,Enchanted Toad Stools,15,853,CoasterAlley
9,Entry,E,1961,entryCorridor
10,Firefall,7,4593,wetLand
11,Flight of the Swingodon,81,4749,wetLand
12,Flying TryAndrienkos,12,798,CoasterAlley
13,Galactosaurus Rage,2,4649,CoasterAlley
14,Grinosaurus Stage,63,1180,CoasterAlley
15,Ichthyroberts Rapids,30,5722,wetLand
16,Jeredactyl Jump,10,895,CoasterAlley
17,Jurrasic Road,22,4485,tunda
18,Kauf's Lost Canyon Escape,24,1283,tunda
19,Keimosaurus Big Spin,6,4765,CoasterAlley
20,Kiddie Land Entry,KLE,935,kiddleLand
21,Kristanodon Kaper,26,1197,tunda
22,Liggement Fix-Me-Up,62,242,tunda
23,Maisaur Maddness,25,1368,tunda
24,North Line,9,820,kiddleLand
25,Paleocarrie Carousel,21,1294,tunda
26,Raptor Race,31,1289,tunda
27,Rhynasaurus Rampage,23,1229,wetLand
28,SabreTooth Theater,64,2073,kiddleLand
29,Sauroma Bumpers,11,807,CoasterAlley
30,Scholtz Express,20,1259,wetLand
31,Squidosaur,27,1217,tunda
32,Stegocycles,16,927,CoasterAlley
33,Stone Cups,19,922,kiddleLand
34,TerrorSaur,4,4505,wetLand
35,Tundra Land Entry,TLE,802,tunda
36,Wendisaurus Chase,5,1243,tunda
37,Wild Jungle Cruise,18,924,kiddleLand
38,Wrightiraptor Mountain,1,4815,CoasterAlley
