,Name,ID,checkins,region
0,Atmosfear,8,18596,CoasterAlley
1,Auvilotops Express,3,19024,tunda
2,Beelzebufo,14,4017,CoasterAlley
3,Blue Iguanodon,17,3934,kiddleLand
4,Creighton Pavilion,32,11394,CoasterAlley
5,Cyndisaurus Asteriod,13,3773,CoasterAlley
6,Dykesadactyl Thrill,29,5664,CoasterAlley
7,Eberlesaurus Roundup,28,5106,tunda
8,Enchanted Toad Stools,15,3763,CoasterAlley
9,Entry,E,9694,entryCorridor
10,Firefall,7,16269,wetLand
11,Flight of the Swingodon,81,16355,wetLand
12,Flying TryAndrienkos,12,3648,CoasterAlley
13,Galactosaurus Rage,2,19075,CoasterAlley
14,Grinosaurus Stage,63,4183,CoasterAlley
15,Ichthyroberts Rapids,30,25397,wetLand
16,Jeredactyl Jump,10,3770,CoasterAlley
17,Jurrasic Road,22,15851,tunda
18,Kauf's Lost Canyon Escape,24,5384,tunda
19,Keimosaurus Big Spin,6,19077,CoasterAlley
20,Kiddie Land Entry,KLE,4751,kiddleLand
21,Kristanodon Kaper,26,5687,tunda
22,Liggement Fix-Me-Up,62,510,tunda
23,Maisaur Maddness,25,5588,tunda
24,North Line,9,3616,kiddleLand
25,Paleocarrie Carousel,21,5608,tunda
26,Raptor Race,31,5633,tunda
27,Rhynasaurus Rampage,23,4997,wetLand
28,SabreTooth Theater,64,9227,kiddleLand
29,Sauroma Bumpers,11,4064,CoasterAlley
30,Scholtz Express,20,5297,wetLand
31,Squidosaur,27,5048,tunda
32,Stegocycles,16,3938,CoasterAlley
33,Stone Cups,19,3975,kiddleLand
34,TerrorSaur,4,14692,wetLand
35,Tundra Land Entry,TLE,3901,tunda
36,Wendisaurus Chase,5,5313,tunda
37,Wild Jungle Cruise,18,4029,kiddleLand
38,Wrightiraptor Mountain,1,18990,CoasterAlley
