,Name,ID,checkins,region
0,Atmosfear,8,6228,CoasterAlley
1,Auvilotops Express,3,6142,tunda
2,Beelzebufo,14,1352,CoasterAlley
3,Blue Iguanodon,17,1445,kiddleLand
4,Creighton Pavilion,32,5700,CoasterAlley
5,Cyndisaurus Asteriod,13,1195,CoasterAlley
6,Dykesadactyl Thrill,29,1939,CoasterAlley
7,Eberlesaurus Roundup,28,1744,tunda
8,Enchanted Toad Stools,15,1434,CoasterAlley
9,Entry,E,3795,entryCorridor
10,Firefall,7,5671,wetLand
11,Flight of the Swingodon,81,5722,wetLand
12,Flying TryAndrienkos,12,1450,CoasterAlley
13,Galactosaurus Rage,2,6616,CoasterAlley
14,Grinosaurus Stage,63,2021,CoasterAlley
15,Ichthyroberts Rapids,30,8904,wetLand
16,Jeredactyl Jump,10,1295,CoasterAlley
17,Jurrasic Road,22,5556,tunda
18,Kauf's Lost Canyon Escape,24,1824,tunda
19,Keimosaurus Big Spin,6,6218,CoasterAlley
20,Kiddie Land Entry,KLE,1643,kiddleLand
21,Kristanodon Kaper,26,2100,tunda
22,Liggement Fix-Me-Up,62,115,tunda
23,Maisaur Maddness,25,1849,tunda
24,North Line,9,1181,kiddleLand
25,Paleocarrie Carousel,21,1997,tunda
26,Raptor Race,31,1799,tunda
27,Rhynasaurus Rampage,23,1710,wetLand
28,SabreTooth Theater,64,3305,kiddleLand
29,Sauroma Bumpers,11,1405,CoasterAlley
30,Scholtz Express,20,1798,wetLand
31,Squidosaur,27,1668,tunda
32,Stegocycles,16,1355,CoasterAlley
33,Stone Cups,19,1389,kiddleLand
34,TerrorSaur,4,5136,wetLand
35,Tundra Land Entry,TLE,1261,tunda
36,Wendisaurus Chase,5,1914,tunda
37,Wild Jungle Cruise,18,1496,kiddleLand
38,Wrightiraptor Mountain,1,6346,CoasterAlley
