,Name,ID,foot_fall,region
0,Atmosfear,8,13393,CoasterAlley
1,Auvilotops Express,3,9030,tunda
2,Beelzebufo,14,1895,CoasterAlley
3,Blue Iguanodon,17,1726,kiddleLand
4,Creighton Pavilion,32,9910,CoasterAlley
5,Cyndisaurus Asteriod,13,2890,CoasterAlley
6,Dykesadactyl Thrill,29,6010,CoasterAlley
7,Eberlesaurus Roundup,28,15362,tunda
8,Enchanted Toad Stools,15,2322,CoasterAlley
9,Entry,E,3919,entryCorridor
10,Firefall,7,11665,wetLand
11,Flight of the Swingodon,81,12032,wetLand
12,Flying TryAndrienkos,12,4174,CoasterAlley
13,Galactosaurus Rage,2,9390,CoasterAlley
14,Grinosaurus Stage,63,2678,CoasterAlley
15,Ichthyroberts Rapids,30,12638,wetLand
16,Jeredactyl Jump,10,3757,CoasterAlley
17,Jurrasic Road,22,10051,tunda
18,Kauf's Lost Canyon Escape,24,2562,tunda
19,Keimosaurus Big Spin,6,10593,CoasterAlley
20,Kiddie Land Entry,KLE,1869,kiddleLand
21,Kristanodon Kaper,26,9268,tunda
22,Liggement Fix-Me-Up,62,479,tunda
23,Maisaur Maddness,25,2771,tunda
24,North Line,9,1641,kiddleLand
25,Paleocarrie Carousel,21,11156,tunda
26,Raptor Race,31,11085,tunda
27,Rhynasaurus Rampage,23,2501,wetLand
28,SabreTooth Theater,64,4912,kiddleLand
29,Sauroma Bumpers,11,3945,CoasterAlley
30,Scholtz Express,20,2524,wetLand
31,Squidosaur,27,4053,tunda
32,Stegocycles,16,2558,CoasterAlley
33,Stone Cups,19,3103,kiddleLand
34,TerrorSaur,4,11107,wetLand
35,Tundra Land Entry,TLE,1604,tunda
36,Wendisaurus Chase,5,7662,tunda
37,Wild Jungle Cruise,18,1883,kiddleLand
38,Wrightiraptor Mountain,1,9443,CoasterAlley
