,Name,ID,foot_fall,region
0,Atmosfear,8,56024,CoasterAlley
1,Auvilotops Express,3,37269,tunda
2,Beelzebufo,14,8115,CoasterAlley
3,Blue Iguanodon,17,7802,kiddleLand
4,Creighton Pavilion,32,35786,CoasterAlley
5,Cyndisaurus Asteriod,13,12623,CoasterAlley
6,Dykesadactyl Thrill,29,25405,CoasterAlley
7,Eberlesaurus Roundup,28,64284,tunda
8,Enchanted Toad Stools,15,10174,CoasterAlley
9,Entry,E,19378,entryCorridor
10,Firefall,7,46050,wetLand
11,Flight of the Swingodon,81,46995,wetLand
12,Flying TryAndrienkos,12,18694,CoasterAlley
13,Galactosaurus Rage,2,37733,CoasterAlley
14,Grinosaurus Stage,63,11362,CoasterAlley
15,Ichthyroberts Rapids,30,55726,wetLand
16,Jeredactyl Jump,10,15946,CoasterAlley
17,Jurrasic Road,22,40034,tunda
18,Kauf's Lost Canyon Escape,24,10754,tunda
19,Keimosaurus Big Spin,6,42772,CoasterAlley
20,Kiddie Land Entry,KLE,9495,kiddleLand
21,Kristanodon Kaper,26,41007,tunda
22,Liggement Fix-Me-Up,62,1016,tunda
23,Maisaur Maddness,25,11185,tunda
24,North Line,9,7226,kiddleLand
25,Paleocarrie Carousel,21,47997,tunda
26,Raptor Race,31,48308,tunda
27,Rhynasaurus Rampage,23,10091,wetLand
28,SabreTooth Theater,64,21943,kiddleLand
29,Sauroma Bumpers,11,18605,CoasterAlley
30,Scholtz Express,20,10622,wetLand
31,Squidosaur,27,16898,tunda
32,Stegocycles,16,11145,CoasterAlley
33,Stone Cups,19,13883,kiddleLand
34,TerrorSaur,4,43060,wetLand
35,Tundra Land Entry,TLE,7802,tunda
36,Wendisaurus Chase,5,33418,tunda
37,Wild Jungle Cruise,18,8131,kiddleLand
38,Wrightiraptor Mountain,1,37229,CoasterAlley
