,Name,ID,foot_fall,region
0,Atmosfear,8,18993,CoasterAlley
1,Auvilotops Express,3,12015,tunda
2,Beelzebufo,14,2732,CoasterAlley
3,Blue Iguanodon,17,2854,kiddleLand
4,Creighton Pavilion,32,14035,CoasterAlley
5,Cyndisaurus Asteriod,13,4277,CoasterAlley
6,Dykesadactyl Thrill,29,8979,CoasterAlley
7,Eberlesaurus Roundup,28,22526,tunda
8,Enchanted Toad Stools,15,3811,CoasterAlley
9,Entry,E,7590,entryCorridor
10,Firefall,7,16048,wetLand
11,Flight of the Swingodon,81,16262,wetLand
12,Flying TryAndrienkos,12,6935,CoasterAlley
13,Galactosaurus Rage,2,12982,CoasterAlley
14,Grinosaurus Stage,63,4487,CoasterAlley
15,Ichthyroberts Rapids,30,19509,wetLand
16,Jeredactyl Jump,10,5397,CoasterAlley
17,Jurrasic Road,22,13884,tunda
18,Kauf's Lost Canyon Escape,24,3636,tunda
19,Keimosaurus Big Spin,6,14108,CoasterAlley
20,Kiddie Land Entry,KLE,3280,kiddleLand
21,Kristanodon Kaper,26,14359,tunda
22,Liggement Fix-Me-Up,62,231,tunda
23,Maisaur Maddness,25,3736,tunda
24,North Line,9,2359,kiddleLand
25,Paleocarrie Carousel,21,16547,tunda
26,Raptor Race,31,16464,tunda
27,Rhynasaurus Rampage,23,3465,wetLand
28,SabreTooth Theater,64,7913,kiddleLand
29,Sauroma Bumpers,11,6549,CoasterAlley
30,Scholtz Express,20,3645,wetLand
31,Squidosaur,27,5553,tunda
32,Stegocycles,16,3887,CoasterAlley
33,Stone Cups,19,4879,kiddleLand
34,TerrorSaur,4,14961,wetLand
35,Tundra Land Entry,TLE,2523,tunda
36,Wendisaurus Chase,5,11602,tunda
37,Wild Jungle Cruise,18,3027,kiddleLand
38,Wrightiraptor Mountain,1,12419,CoasterAlley
