,Name,ID,unique_checkins,region
0,Atmosfear,8,2273,CoasterAlley
1,Auvilotops Express,3,2311,tunda
2,Beelzebufo,14,761,CoasterAlley
3,Blue Iguanodon,17,713,kiddleLand
4,Creighton Pavilion,32,2358,CoasterAlley
5,Cyndisaurus Asteriod,13,758,CoasterAlley
6,Dykesadactyl Thrill,29,1073,CoasterAlley
7,Eberlesaurus Roundup,28,1116,tunda
8,Enchanted Toad Stools,15,696,CoasterAlley
9,Entry,E,1949,entryCorridor
10,Firefall,7,2366,wetLand
11,Flight of the Swingodon,81,2360,wetLand
12,Flying TryAndrienkos,12,715,CoasterAlley
13,Galactosaurus Rage,2,2328,CoasterAlley
14,Grinosaurus Stage,63,1176,CoasterAlley
15,Ichthyroberts Rapids,30,4600,wetLand
16,Jeredactyl Jump,10,712,CoasterAlley
17,Jurrasic Road,22,2460,tunda
18,Kauf's Lost Canyon Escape,24,1053,tunda
19,Keimosaurus Big Spin,6,2461,CoasterAlley
20,Kiddie Land Entry,KLE,856,kiddleLand
21,Kristanodon Kaper,26,1016,tunda
22,Liggement Fix-Me-Up,62,229,tunda
23,Maisaur Maddness,25,1064,tunda
24,North Line,9,726,kiddleLand
25,Paleocarrie Carousel,21,1077,tunda
26,Raptor Race,31,1024,tunda
27,Rhynasaurus Rampage,23,1051,wetLand
28,SabreTooth Theater,64,1587,kiddleLand
29,Sauroma Bumpers,11,689,CoasterAlley
30,Scholtz Express,20,1092,wetLand
31,Squidosaur,27,1037,tunda
32,Stegocycles,16,815,CoasterAlley
33,Stone Cups,19,808,kiddleLand
34,TerrorSaur,4,2426,wetLand
35,Tundra Land Entry,TLE,752,tunda
36,Wendisaurus Chase,5,1026,tunda
37,Wild Jungle Cruise,18,798,kiddleLand
38,Wrightiraptor Mountain,1,2404,CoasterAlley
