,Name,ID,unique_checkins,region
0,Atmosfear,8,7817,CoasterAlley
1,Auvilotops Express,3,8025,tunda
2,Beelzebufo,14,3096,CoasterAlley
3,Blue Iguanodon,17,2871,kiddleLand
4,Creighton Pavilion,32,6164,CoasterAlley
5,Cyndisaurus Asteriod,13,3022,CoasterAlley
6,Dykesadactyl Thrill,29,4184,CoasterAlley
7,Eberlesaurus Roundup,28,3788,tunda
8,Enchanted Toad Stools,15,2924,CoasterAlley
9,Entry,E,6494,entryCorridor
10,Firefall,7,7288,wetLand
11,Flight of the Swingodon,81,7402,wetLand
12,Flying TryAndrienkos,12,2769,CoasterAlley
13,Galactosaurus Rage,2,7909,CoasterAlley
14,Grinosaurus Stage,63,4003,CoasterAlley
15,Ichthyroberts Rapids,30,18190,wetLand
16,Jeredactyl Jump,10,2822,CoasterAlley
17,Jurrasic Road,22,7539,tunda
18,Kauf's Lost Canyon Escape,24,3906,tunda
19,Keimosaurus Big Spin,6,8057,CoasterAlley
20,Kiddie Land Entry,KLE,2644,kiddleLand
21,Kristanodon Kaper,26,4177,tunda
22,Liggement Fix-Me-Up,62,485,tunda
23,Maisaur Maddness,25,3988,tunda
24,North Line,9,2860,kiddleLand
25,Paleocarrie Carousel,21,4116,tunda
26,Raptor Race,31,4119,tunda
27,Rhynasaurus Rampage,23,3864,wetLand
28,SabreTooth Theater,64,5917,kiddleLand
29,Sauroma Bumpers,11,3102,CoasterAlley
30,Scholtz Express,20,3903,wetLand
31,Squidosaur,27,3825,tunda
32,Stegocycles,16,3065,CoasterAlley
33,Stone Cups,19,3068,kiddleLand
34,TerrorSaur,4,7080,wetLand
35,Tundra Land Entry,TLE,2235,tunda
36,Wendisaurus Chase,5,3954,tunda
37,Wild Jungle Cruise,18,3119,kiddleLand
38,Wrightiraptor Mountain,1,7871,CoasterAlley
