,Name,ID,unique_checkins,region
0,Atmosfear,8,3691,CoasterAlley
1,Auvilotops Express,3,3757,tunda
2,Beelzebufo,14,1203,CoasterAlley
3,Blue Iguanodon,17,1103,kiddleLand
4,Creighton Pavilion,32,3795,CoasterAlley
5,Cyndisaurus Asteriod,13,1037,CoasterAlley
6,Dykesadactyl Thrill,29,1650,CoasterAlley
7,Eberlesaurus Roundup,28,1529,tunda
8,Enchanted Toad Stools,15,1167,CoasterAlley
9,Entry,E,3767,entryCorridor
10,Firefall,7,3523,wetLand
11,Flight of the Swingodon,81,3499,wetLand
12,Flying TryAndrienkos,12,1160,CoasterAlley
13,Galactosaurus Rage,2,3754,CoasterAlley
14,Grinosaurus Stage,63,2018,CoasterAlley
15,Ichthyroberts Rapids,30,7509,wetLand
16,Jeredactyl Jump,10,1099,CoasterAlley
17,Jurrasic Road,22,3537,tunda
18,Kauf's Lost Canyon Escape,24,1562,tunda
19,Keimosaurus Big Spin,6,3769,CoasterAlley
20,Kiddie Land Entry,KLE,1470,kiddleLand
21,Kristanodon Kaper,26,1732,tunda
22,Liggement Fix-Me-Up,62,115,tunda
23,Maisaur Maddness,25,1520,tunda
24,North Line,9,1036,kiddleLand
25,Paleocarrie Carousel,21,1620,tunda
26,Raptor Race,31,1501,tunda
27,Rhynasaurus Rampage,23,1526,wetLand
28,SabreTooth Theater,64,2509,kiddleLand
29,Sauroma Bumpers,11,1217,CoasterAlley
30,Scholtz Express,20,1521,wetLand
31,Squidosaur,27,1458,tunda
32,Stegocycles,16,1162,CoasterAlley
33,Stone Cups,19,1135,kiddleLand
34,TerrorSaur,4,3432,wetLand
35,Tundra Land Entry,TLE,1173,tunda
36,Wendisaurus Chase,5,1596,tunda
37,Wild Jungle Cruise,18,1270,kiddleLand
38,Wrightiraptor Mountain,1,3805,CoasterAlley
